cod;nome;período;valor
1200401;12;2017;21
1302603;13;2017;70
1400100;14;2017;12
1501402;15;2017;70
1600303;16;2017;12
1721000;17;2017;3
2111300;21;2017;22
2211001;22;2017;19
2304400;23;2017;129
2408102;24;2017;39
2507507;25;2017;23
2611606;26;2017;62
2704302;27;2017;34
2800308;28;2017;13
2927408;29;2017;105
3106200;31;2017;44
3205309;32;2017;16
3304557;33;2017;135
3550308;35;2017;82
4106902;41;2017;32
4205407;42;2017;6
4314902;43;2017;70
5002704;50;2017;11
5103403;51;2017;11
5208707;52;2017;50
5300108;53;2017;46
1100205;11;2018;13
1200401;12;2018;22
1302603;13;2018;82
1400100;14;2018;22
1501402;15;2018;82
1600303;16;2018;8
1721000;17;2018;8
2111300;21;2018;20
2211001;22;2018;20
2304400;23;2018;197
2408102;24;2018;22
2507507;25;2018;21
2611606;26;2018;44
2704302;27;2018;26
2800308;28;2018;9
2927408;29;2018;78
3106200;31;2018;35
3205309;32;2018;5
3304557;33;2018;112
3550308;35;2018;48
4106902;41;2018;25
4205407;42;2018;8
4314902;43;2018;56
5002704;50;2018;14
5103403;51;2018;12
5208707;52;2018;43
5300108;53;2018;55
2704302;27;2019;29
1100205;11;2019;11
1200401;12;2019;14
1302603;13;2019;78
1400100;14;2019;14
1501402;15;2019;53
1600303;16;2019;9
1721000;17;2019;8
2111300;21;2019;14
2211001;22;2019;12
2304400;23;2019;75
2408102;24;2019;14
2507507;25;2019;16
2611606;26;2019;45
2800308;28;2019;8
2927408;29;2019;70
3106200;31;2019;47
3205309;32;2019;4
3304557;33;2019;48
3550308;35;2019;47
4106902;41;2019;19
4205407;42;2019;6
4314902;43;2019;25
5002704;50;2019;12
5103403;51;2019;4
5208707;52;2019;20
5300108;53;2019;55
1100205;11;2020;19
5300108;53;2020;35
5208707;52;2020;18
5103403;51;2020;12
5002704;50;2020;18
4314902;43;2020;34
4205407;42;2020;7
4106902;41;2020;18
3550308;35;2020;27
3304557;33;2020;82
3205309;32;2020;7
3106200;31;2020;37
2927408;29;2020;95
2800308;28;2020;12
2704302;27;2020;33
2611606;26;2020;34
2507507;25;2020;13
2408102;24;2020;18
2304400;23;2020;101
2211001;22;2020;17
2111300;21;2020;21
1721000;17;2020;9
1600303;16;2020;12
1501402;15;2020;34
1400100;14;2020;13
1302603;13;2020;54
1200401;12;2020;16
5300108;53;2021;46
1100205;11;2021;18
1200401;12;2021;14
1302603;13;2021;76
1400100;14;2021;9
1501402;15;2021;28
1600303;16;2021;15
1721000;17;2021;9
2111300;21;2021;14
2211001;22;2021;21
2304400;23;2021;91
2408102;24;2021;12
2507507;25;2021;12
2611606;26;2021;44
2704302;27;2021;20
2800308;28;2021;12
2927408;29;2021;93
3106200;31;2021;28
3205309;32;2021;6
3304557;33;2021;60
3550308;35;2021;34
4106902;41;2021;24
4205407;42;2021;6
4314902;43;2021;31
5002704;50;2021;11
5103403;51;2021;8
5208707;52;2021;14
1100205;11;2022;15
1200401;12;2022;4
1302603;13;2022;72
1400100;14;2022;15
1501402;15;2022;23
1600303;16;2022;9
1721000;17;2022;4
2111300;21;2022;10
2211001;22;2022;15
2304400;23;2022;85
2408102;24;2022;13
2507507;25;2022;5
2611606;26;2022;48
2704302;27;2022;25
2800308;28;2022;13
2927408;29;2022;79
3106200;31;2022;34
3205309;32;2022;8
3304557;33;2022;69
3550308;35;2022;36
4106902;41;2022;34
4205407;42;2022;3
4314902;43;2022;49
5002704;50;2022;18
5103403;51;2022;9
5208707;52;2022;15
5300108;53;2022;35
